message,label
"URGENT!!! Share this before it gets DELETED! Scientists have proven this cures everything, doctors don't want you to know!!!",forward
"Please forward to 10 people immediately or you will miss out on this blessing, share now!!!",forward
"BREAKING: A doctor told me this secretly, share before govt removes it!!! Don't ignore!!!",forward
"This message is from a trusted source, forward to everyone you know NOW before it's too late!!!",forward
"Scientists say this simple trick will change your life forever, share with family immediately!!!",forward
"Alert!!! New law passed secretly, share to warn everyone before it's banned from being shared!!!",forward
"A friend of a doctor confirmed this is 100 percent true, forward to save lives!!!",forward
"WARNING: Do not ignore this message, forward to 20 people or bad luck will follow!!!",forward
"Government hiding this from us, please share before it gets taken down!!!",forward
"This cured my uncle instantly, share before this gets deleted by authorities!!!",forward
"Hey are we still meeting for lunch tomorrow?",normal
"Can you send me the notes from today's class",normal
"I finished the assignment, will submit it tonight",normal
"What time does the shop close today",normal
"Let's meet at the library around 4pm to study",normal
"Did you watch the match last night, it was close",normal
"I need to buy groceries after school today",normal
"The exam has been moved to next Monday",normal
"Can you help me understand this physics question",normal
"I'm running late, be there in 10 minutes",normal
"Happy birthday, hope you have a great day",normal
"Thanks for helping me with the project yesterday",normal
"The weather looks bad today, take an umbrella",normal
"I forgot my charger, can I borrow yours",normal
"Let's plan the group project this weekend",normal
Everyone got different ways of celebrating ,normal
But it drops to very less if u get scholarship,normal
Okay..but if anyone knows please tell me,normal
Are we supposed to enter our a level results once we have the equivalence or just calculate it online and enter it rn,normal
Guys anyone whose applied in punjab uni?,normal
if you are interested in usa i can help u with a counsellor,normal
Ecat ky preparation ky Liya Konsa online academy best hai?,normal
Which is better? Fintech or CSDA,normal
Why don't they have chemistry so I can skip it with AL credits,normal
Ap enjoy karo in whatever  the country code is 😭,normal
They gave multiple mocks instead of main exam and expected grades on that I think,normal
They said it's a glitch,normal
Can anyone explain ye weightage ka kia scene hota?,normal
Theres something to do with weightage u should wait for 5 days marks sheet ajyegi tb comapre krna,normal
Even all components mein A ban raha hay and overall bhi,normal
I didn't know what else to say,normal
Scripts kitne din mein ati?,normal
you’ll have to talk to that university then about your situation but mostly they need your a level results after like few months of admission..,normal
these grades don't define you bro. You're in uni now just live your life now and let Alevels go. You can do so much more in uni just work hard in that,normal
How are you?,normal
Ap ka P3 hogya?,normal
Yaar nhi exceed hoti toh nhi hain,forward
Jaise different days mein different slots hote hain jin mein phir ap select kr skte ho.,forward
Phir us din mein apko slots alot ho jata hai,forward
hii pls follow n forward to ur frnds asw💗,forward
"Alevels ke boht saray colleges hain i think best iss waqt LGS hai, beacon-house hai iske ilawa LACAS hai ROOTS ivy hai Kaizen hai beacon-house hai iske ilawa LACAS hai ROOTS ivy hai Kaizen hai",forward
"Beware!!! New WhatsApp update will charge your account, forward this message to avoid losing money, share with everyone in your contacts before midnight!!!",forward
"My uncle who is a doctor confirmed this juice cures diabetes in 3 days, please forward to save someone's life today!!!",forward
"ALERT: Petrol prices will increase by 50 percent from tomorrow, government keeping this secret, share before it's too late!!!",forward
"This is not a joke, if you don't forward this message something bad will happen to your family, forward to 15 people now!!!",forward
"Scientists have discovered that drinking warm water with lemon every morning prevents all diseases, share this important message with your loved ones!!!",forward
bohot achi uni hai,forward
"""Important notice from WhatsApp, your account will be suspended in 24 hours unless you forward this message to 10 contacts immediately!!!""
",forward
"Doctors are shocked by this one fruit that kills cancer cells, forward before this video gets banned!!!",forward
"URGENT message from a school teacher, exams have been cancelled nationwide, forward this to every parent you know right now!!!",forward
"This message was sent by a hospital worker, a new virus is spreading fast, share immediately to protect your family!!!",forward
"Bank of Pakistan warning, your account will be hacked if you don't forward this security message today!!!",forward
